level,group,year,path,url,original_url,status,bytes,sha256,error
MS,CE,1401,MS/CE/1401/Daftarche-Soalat-Konkur-Arshad-Computer-1401 (konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/computer/Daftarche-Soalat-Konkur-Arshad-Computer-1401%20(konkurcomputer.ir).pdf,,ok,9654444,4821439cf8b42c741365966ce07894ddcbe24734d6da1487065a5aa82fe0b1c4,
MS,CE,1402,MS/CE/1402/Daftarche-Soalat-Konkur-Arshad-Computer-1402 (konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/computer/Daftarche-Soalat-Konkur-Arshad-Computer-1402%20(konkurcomputer.ir).pdf,,ok,5469168,16a7ad4fc6a39fb16cd5a1156604457c0b2523ebb4f3e9a2b21c16521529bb4a,
MS,CE,1403,MS/CE/1403/Daftarche-Soalat-Konkur-Arshad-Computer-1403 (konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/computer/Daftarche-Soalat-Konkur-Arshad-Computer-1403%20(konkurcomputer.ir).pdf,,ok,29897179,ad6b3b405c49f239a794243f303209ef45e66912a9739b938ab9fe3fe645cb66,
MS,CE,1404,MS/CE/1404/Daftarche-Soalat-Konkur-Arshad-Computer-1404 (konkurcomputer.ir).pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/computer/Daftarche-Soalat-Konkur-Arshad-Computer-1404%20(konkurcomputer.ir).pdf,,ok,29594125,909e4efaaad96f4d39e526104bc9dc6de6d52be11fd7716e583476b0e62ff654,
MS,CE,1405,MS/CE/1405/Q135A-Arshad1405-[www.konkur.in].pdf,https://dl.konkur.in/Arshad/1405/Q135A-Arshad1405-[www.konkur.in].pdf,,ok,648798,e59f06c321cc0b1630f90b6dda4e2b9f61cf163c63c71c83b5deb4082495b42b,
MS,CS,1392,MS/CS/1392/olum_92_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_92_konkurcomputer.pdf,,ok,9095041,a4b87627a3d96764349b0f3dbfe72d14f299f6ff35209fbc439891621186ab59,
MS,CS,1393,MS/CS/1393/olum_93_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_93_konkurcomputer.pdf,,ok,13755668,7ed89fae8eb601a964355fde5e5d297cbb30844e5240b9e3908b798fb86e349d,
MS,CS,1394,MS/CS/1394/olum_94_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_94_konkurcomputer.pdf,,ok,11394936,7e33ce24b2ada94653502d291a5c991b311cf7f0563e1bbadf54240fd2b9895d,
MS,CS,1395,MS/CS/1395/olum_95_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_95_konkurcomputer.pdf,,ok,13996980,80155545274b25cd7aabfaf103afaa600ae7750d387205c1ff0d0f982bf75d63,
MS,CS,1396,MS/CS/1396/olum_96_konkurcomputer.pdf,https://storage.konkurcomputer.ir//dl/booklet/arshad/olum/olum_96_konkurcomputer.pdf,,ok,7096600,828355ee1fe54864b313464a176bd73bc3843fa1a95ad28b9c15874a167de43f,
